,Store_Area,Items_Available,Daily_Customer_Count,Store_Sales,clusters
438,1297,1561,1070,40000,3
439,1908,2304,990,79500,0
440,1721,2076,710,76300,0
441,1243,1491,430,69030,1
442,1472,1766,1290,57140,2
443,1307,1570,1080,41710,3
444,1628,1959,890,71480,0
445,1556,1869,1000,33010,3
446,1179,1428,1290,74570,2
447,1768,2123,860,49590,0
448,1378,1656,1010,73170,2
449,1685,2015,1160,79220,2
450,1474,1759,880,75880,2
451,1794,2137,670,67610,0
452,1086,1291,930,69090,2
453,1808,2154,990,35220,2
454,1501,1790,450,53940,1
455,1353,1598,690,56660,1
456,1455,1757,650,67520,1
457,1165,1411,1020,38620,3
458,1332,1610,880,38890,3
459,1396,1668,760,79270,0
460,1513,1821,690,42880,1
461,1618,1940,630,44240,1
462,1845,2233,370,43190,1
463,1172,1411,460,74550,1
464,1436,1737,770,57090,1
465,1738,2065,750,56480,0
466,2229,2667,660,87410,0
467,1490,1783,730,81370,0
468,1060,1279,670,97360,2
469,2015,2436,680,77960,0
470,1611,1919,960,71240,2
471,1187,1417,1230,58940,2
472,1430,1690,800,78950,0
473,1543,1840,450,36380,1
474,1836,2195,940,45160,0
475,1463,1764,1060,69050,2
476,1213,1462,560,56830,3
477,1244,1480,860,93530,2
478,1745,2108,730,46920,1
479,933,1121,940,55990,3
480,1764,2132,920,40840,1
481,1675,2002,1050,64990,2
482,1688,2046,380,53550,1
483,1842,2204,930,51320,0
484,1316,1597,980,36560,3
485,1440,1719,580,66050,1
486,1760,2111,680,52400,1
487,1323,1571,850,27970,3
488,1230,1466,730,67100,2
489,1540,1838,570,43710,1
490,1167,1388,620,38600,3
491,1429,1695,890,53890,2
492,1491,1770,800,52610,1
493,1313,1574,920,43130,3
494,1609,1943,920,40300,3
495,1109,1342,760,49750,3
496,1207,1440,500,43840,3
497,902,1087,680,56820,3
498,1191,1422,770,36350,3
499,1335,1601,460,50820,1
500,1382,1660,1070,83720,2
501,1588,1906,450,46970,1
502,1918,2284,310,78020,0
503,1484,1774,880,45080,3
504,1334,1607,370,55160,1
505,1556,1846,760,72020,0
506,1784,2142,950,64010,0
507,1244,1477,890,27840,3
508,1496,1787,800,58070,2
509,1719,2058,700,51760,1
510,1678,2022,1050,66050,2
511,1247,1490,330,65750,1
512,1191,1421,980,65820,2
513,1832,2208,1090,46760,2
514,1271,1523,1140,50940,2
515,1735,2084,820,56440,0
516,1627,1948,890,32610,3
517,1351,1616,650,62770,1
518,1520,1817,850,63600,2
519,1490,1788,360,45840,1
520,1777,2117,780,38280,1
521,1688,2037,590,50960,1
522,1537,1836,670,39480,1
523,1622,1968,340,69610,1
524,1148,1384,730,47800,3
525,1001,1194,1210,44890,3
526,1857,2236,1280,67420,2
527,1552,1869,710,78870,0
528,1700,2064,940,70310,0
529,1554,1844,670,38530,1
530,1482,1777,800,77570,0
531,1275,1517,790,59920,3
532,1642,1981,720,54450,1
533,1381,1633,1270,50250,2
534,1381,1634,930,30790,3
535,1057,1262,1490,35420,3
536,1192,1445,810,43470,3
537,1601,1920,600,61000,1
538,1622,1968,210,64780,1
539,1607,1909,460,39030,1
540,2214,2647,740,65900,0
541,1633,1936,1320,46050,2
542,1546,1845,760,59070,1
543,1475,1753,920,44670,3
544,1270,1519,920,58390,2
545,1185,1420,880,80370,2
546,1614,1938,1110,53230,2
547,1141,1353,1370,72000,2
548,1244,1481,410,84040,1
549,869,1050,850,52540,3
550,2049,2465,720,63510,0
551,1883,2262,570,42240,1
552,1526,1842,690,39580,1
553,1165,1390,1220,54610,2
554,1832,2185,840,87330,0
555,1723,2072,560,88410,0
556,932,1138,820,89760,2
557,1137,1374,700,101780,0
558,1231,1472,810,70290,2
559,1237,1512,1070,88210,2
560,1371,1650,540,87160,0
561,1767,2158,530,41540,1
562,1748,2092,580,49170,1
563,1212,1440,500,63950,1
564,1466,1743,1200,70810,2
565,1152,1386,980,49590,3
566,1439,1703,1000,67290,2
567,2026,2400,720,51240,0
568,1772,2146,1030,48540,2
569,1511,1822,420,72410,1
570,1199,1461,1070,54370,2
571,1834,2184,830,94460,0
572,1143,1375,940,85160,2
573,1494,1794,550,52130,1
574,1770,2131,1140,54650,2
575,1455,1747,750,69320,0
576,1141,1372,620,51480,3
577,1586,1886,660,50060,1
578,1701,2034,660,62180,0
579,1860,2246,410,79780,0
580,1167,1406,440,42860,3
581,1424,1716,630,54410,1
582,1710,2053,730,69390,0
583,1408,1708,220,42810,1
584,1517,1831,610,30840,1
585,1227,1476,720,56260,3
586,1609,1930,740,76470,0
587,1553,1831,740,35680,3
588,1814,2174,770,90070,0
589,1240,1493,590,33120,3
590,1206,1437,1330,54060,2
591,1847,2186,910,75120,0
592,1009,1202,330,41600,3
593,1624,1946,870,20270,3
594,1612,1931,790,60060,0
595,1498,1805,1270,82270,2
596,946,1125,590,29170,3
597,1563,1872,1080,68420,2
598,1664,2016,830,59130,0
599,1619,1947,910,74330,0
600,1433,1722,830,77080,2
601,1241,1489,1380,76250,2
602,1429,1720,1180,59540,2
603,1241,1488,770,54690,3
604,1078,1306,680,84360,2
605,1690,2065,910,51420,2
606,1289,1536,540,65120,1
607,1581,1894,760,49380,1
608,1608,1945,760,37830,1
609,1344,1608,730,35980,3
610,1513,1804,430,69190,1
611,1529,1839,1000,50590,2
612,1677,2014,660,60800,1
613,1015,1229,930,31180,3
614,1438,1751,760,77790,0
615,1426,1718,370,47570,1
616,1412,1701,630,69130,1
617,1622,1944,360,75970,1
618,1503,1791,630,68350,1
619,1501,1789,670,41680,1
620,1971,2342,690,86560,0
621,1383,1687,830,81390,2
622,1371,1635,720,50730,3
623,1508,1823,520,71290,1
624,1057,1284,750,70110,3
625,1411,1680,1070,61590,2
626,1466,1746,590,69370,1
627,1545,1888,600,67110,1
628,2044,2408,380,82020,0
629,1887,2264,830,62050,0
630,1505,1836,940,61730,2
631,1422,1722,560,58660,1
632,1564,1869,1030,53370,2
633,1510,1810,730,39700,3
634,1568,1920,890,53750,2
635,1933,2338,1140,44730,2
636,1501,1822,590,49350,1
637,1593,1911,580,43340,1
638,1812,2189,310,78090,0
639,1580,1895,720,54950,1
640,1440,1749,490,75530,1
641,1100,1331,1010,57330,3
642,1534,1841,680,87930,0
643,1299,1555,1020,56850,2
644,1767,2121,1050,78430,0
645,1368,1649,740,63660,1
646,1393,1670,410,62960,1
647,1327,1590,770,81870,2
648,1514,1794,1400,54820,2
649,1989,2414,860,116320,0
650,1334,1584,840,57200,2
651,1533,1817,950,84360,0
652,1809,2145,940,36530,1
653,1607,1933,930,81260,0
654,1165,1387,1060,82350,2
655,1193,1430,560,80830,1
656,1709,2065,670,30610,1
657,1525,1839,540,51310,1
658,1348,1623,1010,72940,2
659,1132,1366,1340,52450,2
660,1667,2020,980,66070,2
661,1427,1720,630,43190,1
662,1211,1447,1110,40730,3
663,1717,2048,700,78530,0
664,1766,2111,580,94690,0
665,1086,1299,1050,44400,3
666,1410,1692,790,73800,2
667,1476,1760,600,37390,1
668,1068,1278,440,64120,1
669,1485,1785,1340,66160,2
670,1461,1739,1250,22310,3
671,1685,2010,990,62380,2
672,1624,1958,290,63850,1
673,1658,2000,350,36210,1
674,1427,1677,210,54590,1
675,1755,2072,810,69610,0
676,1211,1472,790,65390,2
677,1591,1896,780,78130,0
678,1797,2126,730,55710,0
679,1519,1823,1040,69210,2
680,1637,1958,760,59940,0
681,1451,1750,570,72550,1
682,1203,1446,620,44260,3
683,1884,2262,310,56910,1
684,1540,1820,310,82390,1
685,1121,1332,790,54590,3
686,1307,1562,490,69990,1
687,1475,1775,230,72740,1
688,1160,1401,900,35360,3
689,1078,1276,640,94370,2
690,1191,1436,840,43520,3
691,1317,1569,780,36000,3
692,1548,1858,480,99480,0
693,1560,1883,1040,83220,2
694,1297,1529,870,52940,3
695,1645,1958,530,93360,0
696,1225,1455,750,73590,2
697,1421,1704,840,53840,2
698,1655,1956,800,47350,1
699,1615,1928,660,65080,0
700,1872,2262,560,62050,0
701,1317,1581,910,30020,3
702,1434,1729,480,49510,1
703,1791,2167,700,64320,0
704,932,1120,660,35590,3
705,1609,1924,1170,63050,2
706,1495,1793,1020,65300,2
707,1769,2153,580,69560,0
708,1693,2032,610,41910,1
709,1247,1497,590,28330,3
710,1502,1815,190,55980,1
711,1360,1612,490,61080,1
712,1542,1844,680,51380,1
713,1631,1947,670,84410,0
714,1246,1482,1070,60680,2
715,1990,2384,1110,64690,0
716,967,1154,560,45780,3
717,1582,1894,1100,41800,2
718,1430,1743,970,53230,2
719,1827,2160,930,36160,1
720,1118,1338,1040,40450,3
721,1766,2109,1120,57910,2
722,1799,2173,910,36280,1
723,1167,1411,440,39190,3
724,1493,1795,530,62380,1
725,1445,1734,900,21470,3
726,1033,1237,740,34610,3
727,1440,1711,1020,88120,2
728,1487,1773,970,59190,2
729,1854,2205,890,36290,1
730,1748,2086,550,53760,1
731,1937,2310,520,66300,0
732,1641,1999,950,93000,0
733,1659,1999,650,65660,0
734,1743,2061,860,81930,0
735,1449,1733,320,60060,1
736,1098,1309,860,59530,3
737,1121,1351,900,46380,3
738,1526,1858,550,76200,0
739,1358,1645,770,56860,3
740,1336,1616,710,86620,0
741,1502,1802,840,49730,3
742,1534,1858,860,88370,0
743,1418,1699,870,49160,3
744,854,1018,660,77740,3
745,1450,1728,930,38560,3
746,1474,1776,1020,51990,2
747,1524,1819,1190,39970,2
748,1361,1638,1140,46040,2
749,1398,1683,490,49500,1
750,1085,1308,1170,76670,2
751,1660,1979,480,75800,0
752,1648,2017,930,81720,0
753,1453,1749,890,58440,2
754,1323,1591,680,85720,0
755,1385,1643,740,70940,2
756,1250,1506,990,62420,2
757,1389,1683,680,56880,1
758,1486,1758,820,101820,0
759,1655,1993,440,86890,0
760,1645,1963,900,47300,2
761,1464,1771,1080,31270,3
762,1197,1428,830,65410,2
763,1878,2264,310,54200,1
764,1150,1378,730,67390,3
765,1562,1881,740,54530,1
766,1596,1939,960,79760,0
767,1119,1345,790,78060,2
768,1116,1347,700,74080,2
769,1934,2349,750,52990,0
770,1299,1540,590,70580,1
771,1417,1689,570,34310,3
772,1235,1503,660,74160,1
773,1497,1815,700,59190,1
774,1430,1704,1070,43370,2
775,1537,1877,660,17670,3
776,1444,1742,840,56710,2
777,1477,1798,850,59820,2
778,1041,1246,600,36190,3
779,1226,1472,710,60440,3
780,1489,1783,450,75300,1
781,1549,1871,740,74080,0
782,1073,1280,1240,60440,2
783,1473,1785,570,80720,0
784,2013,2396,580,47060,1
785,1975,2368,450,86830,0
786,1561,1877,790,56790,1
787,1427,1723,1040,67090,2
788,1441,1747,670,44370,1
789,1275,1548,370,82970,1
790,1574,1876,620,56230,1
791,1511,1791,1010,53760,2
792,1428,1713,550,55390,1
793,1388,1672,800,73500,2
794,1057,1280,610,41050,3
795,1440,1747,1090,67320,2
796,1349,1610,700,65890,1
797,1536,1808,830,56380,2
798,2019,2420,850,85670,0
799,1236,1508,1260,70830,2
800,1436,1715,1030,48180,2
801,1862,2248,1160,51910,2
802,1200,1442,880,44320,3
803,1360,1650,420,58940,1
804,1722,2078,770,73610,0
805,1577,1902,910,54060,2
806,1850,2214,1110,85000,0
807,1447,1730,510,49030,1
808,1496,1800,780,63300,2
809,1679,2008,790,84300,0
810,994,1194,1090,81390,2
811,1354,1635,1270,95900,2
812,1597,1918,1260,71830,2
813,1873,2252,330,79310,0
814,1218,1459,540,87890,0
815,1458,1746,720,48610,1
816,1546,1860,670,73160,0
817,1608,1962,770,36280,1
818,1822,2160,860,49720,0
819,1716,2038,410,44400,1
820,1072,1296,900,47590,3
821,1330,1604,480,51460,1
822,1588,1892,540,57750,1
823,1425,1733,760,66000,2
824,1778,2133,280,45950,1
825,1363,1630,1120,53900,2
826,1609,1928,160,37920,1
827,1671,2024,620,63100,1
828,1379,1636,440,36770,1
829,1218,1452,870,43910,3
830,1724,2101,900,66390,0
831,986,1179,710,59160,3
832,1330,1606,590,38510,3
833,1437,1725,910,46220,3
834,1327,1609,1320,41500,2
835,1651,2009,1000,58160,2
836,1211,1462,670,38530,3
837,1916,2277,610,55880,0
838,1638,1937,1050,70940,2
839,1172,1413,480,53940,3
840,1350,1606,770,43030,3
841,1528,1843,340,59820,1
842,1305,1557,580,55500,1
843,1463,1751,900,49990,2
844,1409,1727,700,42980,3
845,1419,1743,860,65970,2
846,1535,1819,540,59290,1
847,1474,1745,970,63020,2
848,919,1099,1560,73810,2
849,2067,2492,790,70230,0
850,1977,2362,1020,59950,0
851,1293,1558,790,78100,2
852,1477,1790,880,16370,3
853,1582,1906,550,92640,0
854,1481,1789,550,63540,1
855,1214,1455,950,87220,2
856,1206,1460,810,41990,3
857,1653,1982,390,79410,0
858,1152,1393,860,54380,3
859,1458,1757,850,58600,2
860,1249,1510,660,48950,3
861,1939,2333,830,40670,1
862,1591,1919,640,52340,1
863,1180,1397,750,39140,3
864,1846,2195,1170,41090,2
865,780,951,790,25600,3
866,1565,1854,900,100900,0
867,1648,1959,370,77080,0
868,1775,2104,980,105150,0
869,1439,1732,1170,80580,2
870,1487,1776,800,46230,3
871,1800,2158,1100,98260,0
872,1690,2024,1070,75930,0
873,1209,1452,830,52050,3
874,1859,2222,1210,87000,0
875,1691,2023,540,60270,1
876,1259,1493,100,88270,1
877,1771,2138,820,57820,0
878,1205,1468,1210,61210,2
879,1792,2131,810,76420,0
880,1263,1516,780,70980,2
881,1344,1605,1160,76740,2
882,1819,2187,590,47920,1
883,1357,1625,1140,52160,2
884,1396,1673,690,32740,3
885,1118,1337,560,72270,1
886,1655,1986,1150,77430,2
887,1156,1398,140,92370,1
888,1451,1734,670,34880,3
889,1539,1829,650,46580,1
890,1549,1851,1220,70620,2
891,1582,1910,1080,66390,2
892,1387,1663,850,82080,2
893,1200,1436,1060,76440,2
894,1299,1560,770,96610,0
895,1174,1429,1110,54340,2
